domain,global_score,seo_score,commercial_score,projected_roi,recommended_price,recommendation
tech-marketing-blog.com,2.8,4,3,15.0%,200.00€,SURVEILLER
digital-seo-tools.net,2.8,4,3,20.0%,100.00€,SURVEILLER
affiliate-income-pro.org,1.8,2,3,10.0%,50.00€,ÉVITER
web-development-hub.com,2.0,2,4,10.0%,50.00€,ÉVITER
online-business-tips.net,3.2,4,6,15.0%,200.00€,SURVEILLER
crypto-trading-guide.com,3.2,4,6,20.0%,500.00€,SURVEILLER
ai-automation-tools.org,1.8,2,3,20.0%,100.00€,SURVEILLER
social-media-growth.net,2.5,2,4,15.0%,100.00€,SURVEILLER
e-commerce-solutions.com,3.2,4,6,15.0%,500.00€,SURVEILLER
content-marketing-pro.org,1.8,2,3,10.0%,50.00€,ÉVITER
