domain,tld,length,commercial_score,keyword_relevance,estimated_value,source,keywords,created_at
edtech-pro.com,com,10,8.0,7.5,468.0,whois_api,tech,2025-06-09 02:26:44
fintech-hub.com,com,11,8.0,7.5,468.0,whois_api,tech,2025-06-09 02:26:44
proptech-lab.com,com,12,8.0,7.5,468.0,whois_api,tech,2025-06-09 02:28:06
edtech-hub.com,com,10,8.0,7.5,468.0,whois_api,tech,2025-06-09 02:48:58
smarthealthtech.com,com,15,8.0,9.0,432.0,whois_api,"tech,smart,health",2025-06-09 03:35:35
fintechzone.net,net,11,8.0,7.5,374.4,whois_api,tech,2025-06-09 02:28:06
proptechlab.net,net,11,8.0,7.5,374.4,whois_api,tech,2025-06-09 02:29:37
proptechpro.net,net,11,8.0,7.5,374.4,whois_api,tech,2025-06-09 02:48:58
proptech-works.com,com,14,8.0,7.5,360.0,whois_api,tech,2025-06-09 02:26:44
newhealthtech.com,com,13,8.0,7.0,336.0,whois_api,"tech,health",2025-06-09 02:26:44
besthealthtech.com,com,14,8.0,7.0,336.0,whois_api,"tech,health",2025-06-09 02:48:58
mytech.com,com,6,8.0,5.0,312.0,pattern_generation,tech,2025-06-09 02:26:44
pro-fintech.org,org,11,8.0,7.5,312.0,whois_api,tech,2025-06-09 02:28:06
top-proptech.org,org,12,8.0,7.5,312.0,whois_api,tech,2025-06-09 02:29:37
topcleantech.com,com,12,8.0,5.0,312.0,whois_api,tech,2025-06-09 02:44:46
quickfintech.com,com,12,8.0,5.0,312.0,whois_api,tech,2025-06-09 02:48:58
bestfintech.com,com,11,8.0,5.0,312.0,whois_api,tech,2025-06-09 03:35:35
healthtech-solutions.com,com,20,7.0,7.0,294.0,whois_api,"tech,health",2025-06-09 02:26:44
healthtech-works.com,com,16,7.0,7.0,294.0,whois_api,"tech,health",2025-06-09 02:29:37
proptechstudio.net,net,14,8.0,7.5,288.0,whois_api,tech,2025-06-09 02:26:44
expertpro.com,com,9,6.0,6.0,280.8,pattern_generation,generic,2025-06-09 03:35:35
email.support.majeliv.com,com,5,8.5,5.0,255.0,certificate_transparency,ai,2025-06-09 03:35:35
proptechsolutions.net,net,17,7.0,7.5,252.0,whois_api,tech,2025-06-09 03:35:35
fintechlab.net,net,10,8.0,5.0,249.6,whois_api,tech,2025-06-09 02:26:44
edtechworks.net,net,11,8.0,5.0,249.6,whois_api,tech,2025-06-09 03:35:35
best-proptech.org,org,13,8.0,7.5,240.0,whois_api,tech,2025-06-09 02:26:44
cleantech-lab.com,com,13,8.0,5.0,240.0,whois_api,tech,2025-06-09 02:26:44
easy-proptech.org,org,13,8.0,7.5,240.0,whois_api,tech,2025-06-09 03:35:35
healthtechsolutions.net,net,19,7.0,7.0,235.2,whois_api,"tech,health",2025-06-09 03:35:35
mysmart.com,com,7,6.0,5.0,234.0,pattern_generation,smart,2025-06-09 03:35:35
prohub.net,net,6,6.0,6.0,224.64,pattern_generation,generic,2025-06-09 02:26:44
prozone.net,net,7,6.0,6.0,224.64,pattern_generation,generic,2025-06-09 03:35:35
best-healthtech.org,org,15,8.0,7.0,224.0,whois_api,"tech,health",2025-06-09 02:29:37
smart-fintech.org,org,13,8.0,7.0,224.0,whois_api,"tech,smart",2025-06-09 03:35:35
cleantech-solutions.com,com,19,7.0,5.0,210.0,whois_api,tech,2025-06-09 03:35:35
best-fintech.org,org,12,8.0,5.0,208.0,whois_api,tech,2025-06-09 02:26:44
new-fintech.org,org,11,8.0,5.0,208.0,whois_api,tech,2025-06-09 02:26:44
expertmaster.org,org,12,6.0,6.0,187.2,pattern_generation,generic,2025-06-09 02:26:44
quick-fintech.org,org,13,8.0,5.0,160.0,whois_api,tech,2025-06-09 02:28:06
quick-cleantech.org,org,15,8.0,5.0,160.0,whois_api,tech,2025-06-09 02:44:46
